File Name: WavefrontEntireData.txt
ROI Dimension, mm: 20
Pupil Radius, mm: 5
Array Dimension: 50
Width, mm: 20
Mesh Size, mm: 0.4
Wavelength, nm: 685
Phase Data, micrometers (below)
-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
24	9.6	0	2.74488	5.13313	7.1047	8.6598	9.79866	10.5216	10.8289	10.721	10.1984	9.26191	7.91223	6.1505	4.2669	2.7034	1.27196	-0.02199	-1.17547	-2.18757	-3.05904	-3.79193	-4.38924	-4.85446	-5.19128	-5.40313	-5.49285	-5.46229	-5.31192	-5.04046	-4.64452	-4.11815	-3.45256	-2.63563	-1.65162	-0.480724	0.90127	2.52338	4.41982	6.25811	7.59665	8.59727	9.25948	9.58293	9.5673	9.21238	8.51795	7.48388	6.11002	4.39628	2.34255	0	
25	10	0	2.80256	5.18703	7.15341	8.70168	9.83187	10.544	10.8379	10.7138	10.1716	9.21135	7.83296	6.03647	4.1496	2.58225	1.14949	-0.143753	-1.29493	-2.30351	-3.17064	-3.89868	-4.49089	-4.95102	-5.28295	-5.49026	-5.57592	-5.54185	-5.38854	-5.11473	-4.71696	-4.1892	-3.52253	-2.70466	-1.71963	-0.547395	0.836556	2.46158	4.36224	6.23302	7.58705	8.60045	9.27323	9.60538	9.5969	9.24779	8.55806	7.5277	6.15672	4.4451	2.39287	0	
26	10.4	0	2.75294	5.14803	7.12484	8.68335	9.82351	10.5453	10.8486	10.7334	10.1996	9.24701	7.87549	6.08478	4.17733	2.60745	1.17391	-0.118724	-1.26825	-2.27443	-3.13865	-3.8635	-4.4524	-4.90923	-5.23795	-5.44221	-5.52496	-5.4881	-5.33205	-5.05542	-4.6546	-4.12338	-3.45257	-2.62962	-1.63825	-0.458046	0.9359	2.57338	4.48947	6.33712	7.67235	8.66876	9.32599	9.64378	9.62192	9.26025	8.55864	7.51699	6.13523	4.41327	2.35108	0	
27	10.8	0	2.59457	5.01455	7.0173	8.60293	9.77154	10.5233	10.8583	10.7768	10.2789	9.36483	8.03489	6.28928	4.34481	2.77407	1.34067	0.0489005	-1.09925	-2.10373	-2.96607	-3.68895	-4.27587	-4.73072	-5.05745	-5.25964	-5.34014	-5.30069	-5.14156	-4.86112	-4.45548	-3.91814	-3.23955	-2.40679	-1.40313	-0.207709	1.20491	2.86507	4.80842	6.56663	7.84798	8.79739	9.41308	9.69372	9.63833	9.24614	8.51653	7.44903	6.04326	4.2989	2.21569	0	
28	11.2	0	2.32425	4.78316	6.82707	8.45636	9.67148	10.4729	10.8614	10.8374	10.402	9.55598	8.30047	6.63662	4.6467	3.0774	1.64568	0.355708	-0.790663	-1.79346	-2.65424	-3.37569	-3.96124	-4.41471	-4.73991	-4.94025	-5.01837	-4.97577	-4.81241	-4.52633	-4.11328	-3.56632	-2.87546	-2.02728	-1.00452	0.214274	1.65515	3.34912	5.33253	6.91045	8.10383	8.97717	9.52621	9.7478	9.63955	9.19964	8.42663	7.31939	5.87699	4.09871	1.98392	0	
29	11.6	0	1.93709	4.44859	6.54844	8.23744	9.51653	10.3868	10.8495	10.906	10.5582	9.80786	8.65728	7.10882	5.16488	3.51356	2.086	0.799664	-0.3436	-1.34379	-2.20237	-2.92192	-3.50573	-3.9574	-4.28051	-4.47819	-4.55277	-4.50537	-4.33556	-4.04094	-3.61677	-3.05558	-2.34684	-1.4765	-0.42665	0.824842	2.30475	4.04486	5.98159	7.3499	8.42436	9.19487	9.65395	9.79603	9.61683	9.11308	8.28219	7.12212	5.63122	3.80816	1.65184	0	
30	12	0	1.42649	4.00376	6.17379	7.93791	9.29767	10.2549	10.8116	10.9702	10.7336	10.1047	9.08726	7.68495	5.90162	4.0801	2.66035	1.38069	0.24308	-0.752335	-1.60685	-2.3228	-2.90321	-3.35139	-3.67056	-3.86347	-3.93201	-3.87685	-3.69703	-3.3896	-2.94922	-2.36782	-1.63416	-0.733493	0.352846	1.6478	3.17897	4.97901	6.65964	7.85987	8.78934	9.43372	9.78212	9.82621	9.55956	8.97716	8.07503	6.85003	5.29961	3.42168	1.21453	0	
31	12.4	0	0.784138	3.43977	5.69353	7.5474	9.00366	10.0649	10.7342	11.0151	10.9115	10.4279	9.56937	8.34139	6.74954	4.79916	3.36973	2.10126	0.973329	-0.0136618	-0.860712	-1.56983	-2.14367	-2.58512	-2.89694	-3.08138	-3.1398	-3.07229	-2.87727	-2.55113	-2.08784	-1.47856	-0.711288	0.229559	1.3635	2.71439	4.31077	6.16312	7.39946	8.41087	9.17505	9.67419	9.89429	9.82431	9.45559	8.78125	7.7958	6.49483	4.87477	2.93268	0.66615	0	
32	12.8	0	0	2.74587	5.09611	7.05344	8.62094	9.80218	10.6012	11.0228	11.0721	10.7554	10.0792	9.05093	7.67857	5.9703	4.21799	2.96697	1.8545	0.881359	0.0469405	-0.650323	-1.21259	-1.64223	-1.94145	-2.11188	-2.15424	-2.06793	-1.85063	-1.49798	-1.00312	-0.356379	0.455153	1.44799	2.64261	4.0639	5.74146	7.15159	8.16198	8.97131	9.55564	9.89482	9.97234	9.77481	9.29145	8.51354	7.43403	6.04721	4.34839	2.33372	0	0	
33	13.2	0	0	1.90945	4.36799	6.44139	8.13365	9.4493	10.3936	10.9724	11.1924	11.0615	10.588	9.78151	8.65268	7.21327	5.4768	3.98714	2.89795	1.94612	1.13155	0.453246	-0.0903781	-0.501053	-0.780303	-0.929059	-0.947274	-0.833546	-0.584737	-0.195584	0.341671	1.03767	1.90633	2.96519	4.23583	5.74425	7.19204	8.12831	8.90922	9.50923	9.90424	10.0729	9.99686	9.66096	9.05251	8.16114	6.9783	5.49696	3.7113	1.61651	0	0	
34	13.6	0	0	0.91608	3.4936	5.69445	7.52351	8.98638	10.0894	10.8398	11.2457	11.3164	11.0624	10.4954	9.62883	8.47811	7.06177	5.4036	4.11959	3.19884	2.41369	1.76378	1.24823	0.866053	0.616512	0.499498	0.515922	0.668092	0.960095	1.39818	1.99113	2.75066	3.6918	4.83323	6.19774	7.5464	8.36025	9.05321	9.60531	9.99326	10.1937	10.1848	9.94747	9.46494	8.72313	7.71019	6.41621	4.83293	2.95343	0.771937	0	0	
35	14	0	0	0	2.45545	4.79367	6.76997	8.39094	9.66405	10.5977	11.2016	11.4864	11.4645	11.1495	10.5575	9.70697	8.62047	7.32664	5.86391	4.66321	3.91963	3.31015	2.83474	2.49324	2.2858	2.21326	2.2775	2.48184	2.83142	3.33359	3.99827	4.83836	5.87009	7.11342	8.19547	8.86582	9.4337	9.88961	10.2164	10.3928	10.3968	10.2067	9.80299	9.16804	8.28667	7.14583	5.73443	4.04309	2.06386	0	0	0	
36	14.4	0	0	0	1.23421	3.71816	5.85031	7.6382	9.09035	10.2163	11.027	11.5345	11.7525	11.6965	11.3845	10.8372	10.0794	9.14229	8.06542	6.9008	5.71638	5.12782	4.7075	4.42176	4.27175	4.25936	4.38754	4.66074	5.08527	5.66968	6.42514	7.36582	8.47404	9.09836	9.61959	10.0457	10.3764	10.6028	10.7098	10.6779	10.4863	10.1141	9.54154	8.75068	7.72558	6.45228	4.9187	3.11449	1.03078	0	0	0	
37	14.8	0	0	0	0	2.44529	4.73996	6.70138	8.33897	9.66329	10.6862	11.4208	11.8821	12.0867	12.0536	11.8047	11.3658	10.7676	10.0483	9.25439	8.44306	7.68112	7.04128	6.70057	6.62652	6.69316	6.90464	7.26664	7.78674	8.4748	9.19217	9.746	10.2083	10.577	10.8563	11.049	11.1529	11.1592	11.0538	10.819	10.4351	9.88212	9.1406	8.19251	7.02145	5.61283	3.95383	2.03328	0	0	0	0	
38	15.2	0	0	0	0	0.951004	3.4129	5.55219	7.37906	8.90483	10.1421	11.1047	11.8082	12.2699	12.5092	12.5478	12.411	12.1279	11.7327	11.2654	10.7717	10.3023	9.90817	9.63535	9.51612	9.56161	9.75782	10.068	10.4415	10.8256	11.1768	11.4662	11.6793	11.8123	11.8655	11.8388	11.7284	11.5254	11.217	10.7866	10.2158	9.48564	8.57714	7.47245	6.15504	4.60993	2.82376	0.784748	0	0	0	0	
39	15.6	0	0	0	0	0	1.8421	4.16141	6.17893	7.90649	9.35709	10.545	11.486	12.1973	12.6979	13.0088	13.1535	13.1584	13.0529	12.87	12.6455	12.4165	12.2186	12.0818	12.0257	12.0558	12.1616	12.3191	12.4964	12.6606	12.7839	12.8476	12.8416	12.7623	12.6085	12.3787	12.0684	11.669	11.1685	10.5516	9.80121	8.89928	7.82768	6.56888	5.10646	3.42528	1.51166	0	0	0	0	0	
40	16	0	0	0	0	0	0	2.49942	4.70668	6.63389	8.29422	9.70195	10.8726	11.8228	12.5707	13.1358	13.5395	13.8045	13.9558	14.0195	14.023	13.9932	13.9545	13.9266	13.9215	13.9418	13.9804	14.0224	14.0483	14.0383	13.976	13.8503	13.6551	13.3882	13.0484	12.6338	12.1396	11.5581	10.8779	10.0852	9.16415	8.09766	6.86851	5.45977	3.85528	2.03996	0	0	0	0	0	0	
41	16.4	0	0	0	0	0	0	0.536781	2.93089	5.0535	6.91766	8.53735	9.92748	11.1039	12.0833	12.8835	13.5231	14.0216	14.3993	14.6767	14.8744	15.0115	15.1048	15.1672	15.2062	15.2233	15.2144	15.1706	15.0809	14.9347	14.7232	14.4408	14.0852	13.6556	13.1516	12.5713	11.9105	11.1622	10.3161	9.35961	8.27803	7.05558	5.67594	4.12289	2.38072	0.434594	0	0	0	0	0	0	
42	16.8	0	0	0	0	0	0	0	0.821146	3.13319	5.19359	7.01578	8.61383	10.0024	11.1968	12.2127	13.0661	13.7734	14.3506	14.8139	15.1782	15.4573	15.6626	15.8027	15.8826	15.9035	15.8634	15.7581	15.5823	15.3312	15.0016	14.5919	14.1026	13.5343	12.8875	12.1611	11.3516	10.4526	9.45508	8.34765	7.11693	5.74831	4.22649	2.53605	0.661896	0	0	0	0	0	0	0	
43	17.2	0	0	0	0	0	0	0	0	0.842721	3.09057	5.10472	6.89829	8.48467	9.87747	11.0904	12.137	13.0307	13.7844	14.4102	14.9192	15.3211	15.624	15.8335	15.9532	15.9847	15.9276	15.7808	15.543	15.2133	14.7921	14.2811	13.6823	12.9979	12.2294	11.3762	10.4356	9.40231	8.2684	7.02363	5.65592	4.15184	2.49715	0.677345	0	0	0	0	0	0	0	0	
44	17.6	0	0	0	0	0	0	0	0	0	0.579788	2.77484	4.75125	6.52108	8.09637	9.48889	10.7101	11.7707	12.681	13.4503	14.0865	14.5968	14.9866	15.2602	15.4204	15.4689	15.4069	15.2354	14.9555	14.5693	14.0795	13.4897	12.8034	12.0239	11.1533	10.192	9.13787	7.98665	6.73147	5.36329	3.87124	2.24306	0.465623	0	0	0	0	0	0	0	0	0	
45	18	0	0	0	0	0	0	0	0	0	0	0	2.14675	4.08629	5.82912	7.38534	8.76444	9.97522	11.0256	11.9227	12.6726	13.2802	13.7496	14.084	14.286	14.3578	14.3013	14.1191	13.8141	13.39	12.8512	12.2025	11.4483	10.5928	9.63868	8.58684	7.43609	6.18293	4.82152	3.34393	1.74046	0	0	0	0	0	0	0	0	0	0	0	
46	18.4	0	0	0	0	0	0	0	0	0	0	0	0	1.1586	3.05529	4.76094	6.28346	7.62998	8.80678	9.81926	10.672	11.3687	11.9126	12.3062	12.5521	12.6527	12.6108	12.4299	12.1141	11.668	11.0971	10.4068	9.60227	8.68809	7.66741	6.54168	5.31034	3.97065	2.51769	0.944563	0	0	0	0	0	0	0	0	0	0	0	0	
47	18.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60038	3.2538	4.72395	6.01585	7.13371	8.08107	8.86088	9.4757	9.92792	10.22	10.3547	10.3355	10.1662	9.85164	9.39721	8.80871	8.09204	7.25272	6.29551	5.22389	4.03969	2.74286	1.33132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24855	2.64635	3.86168	4.89737	5.75588	6.43946	6.95038	7.2912	7.46492	7.4752	7.32641	7.02363	6.57254	5.97914	5.24946	4.38912	3.40295	2.29459	1.06612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11927	2.05338	2.80445	3.37474	3.76687	3.98403	4.03004	3.90947	3.62751	3.18989	2.60261	1.87163	1.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
