File Name: MembranePDE_ROISolution.txt
Array Dimension: 50
Stress, MPa 7
Thickness, um 1
Gap Distance, um 25
Width, mm 20
Bias, V 0
ROIDimension, mm 20
Mesh Size, mm 0.4
Membrane Tension, MKS 7
Peak Deflection, um 0
Membrane Deflection data, um (below) 
-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
23	9.2	0	0.0731989	0.133822	0.174809	0.196287	0.198408	0.181353	0.145338	0.0906234	0.0175282	-0.0735576	-0.182151	-0.307653	-0.366589	-0.278936	-0.202286	-0.133631	-0.0712009	-0.0142817	0.036982	0.0817751	0.118803	0.146482	0.163131	0.167162	0.157268	0.132619	0.0930478	0.0392434	-0.0270593	-0.102888	-0.183844	-0.26391	-0.335257	-0.388062	-0.410306	-0.387592	-0.302952	-0.314716	-0.387524	-0.442327	-0.479008	-0.497502	-0.497777	-0.479816	-0.443614	-0.389174	-0.316499	-0.225594	-0.116468	0	
24	9.6	0	0.0788575	0.139316	0.179613	0.199811	0.19998	0.180207	0.140598	0.0812809	0.00241333	-0.095806	-0.213126	-0.349225	-0.387032	-0.301923	-0.226164	-0.157042	-0.0930636	-0.0337699	0.0204596	0.068595	0.109148	0.140361	0.1604	0.167543	0.160372	0.137964	0.100082	0.0473615	-0.0184915	-0.0945157	-0.176302	-0.257801	-0.331136	-0.386408	-0.411511	-0.391932	-0.310571	-0.295421	-0.370917	-0.428126	-0.467064	-0.487744	-0.49018	-0.474385	-0.440371	-0.388148	-0.317725	-0.229108	-0.122305	0	
25	10	0	0.0821523	0.143704	0.184655	0.205006	0.204755	0.183905	0.142453	0.0804013	-0.00225126	-0.105504	-0.229358	-0.373813	-0.407993	-0.324809	-0.249714	-0.180234	-0.1151	-0.0540522	0.00234874	0.0529132	0.0960127	0.129771	0.152255	0.161665	0.156525	0.135874	0.0994569	0.0479153	-0.0170228	-0.0923514	-0.173596	-0.254624	-0.327451	-0.382054	-0.406178	-0.385146	-0.301668	-0.275536	-0.352311	-0.410952	-0.451459	-0.473832	-0.478071	-0.464177	-0.432149	-0.381987	-0.313691	-0.227261	-0.122697	0	
26	10.4	0	0.0828908	0.146767	0.189683	0.211585	0.212407	0.19207	0.150475	0.0874995	0.00298863	-0.103258	-0.2315	-0.382085	-0.431814	-0.349896	-0.275189	-0.205408	-0.13945	-0.0772017	-0.0193494	0.0328114	0.0775672	0.112977	0.137064	0.148003	0.144315	0.125058	0.0900133	0.0398796	-0.0235361	-0.0971294	-0.176307	-0.254795	-0.32445	-0.375069	-0.394196	-0.366932	-0.275745	-0.255919	-0.33307	-0.392381	-0.433809	-0.457316	-0.462871	-0.45045	-0.42003	-0.371593	-0.305124	-0.220611	-0.118042	0	
27	10.8	0	0.0807053	0.148129	0.194312	0.219153	0.222526	0.204279	0.16422	0.102106	0.0176214	-0.0896426	-0.220235	-0.374906	-0.461144	-0.379657	-0.304881	-0.234665	-0.168017	-0.104918	-0.0461237	0.00701812	0.0527637	0.0891619	0.114245	0.126221	0.12366	0.105692	0.0721898	0.0239652	-0.0370423	-0.107575	-0.182866	-0.256447	-0.319961	-0.362969	-0.37276	-0.334159	-0.229338	-0.236228	-0.313692	-0.373363	-0.415271	-0.43941	-0.44576	-0.434294	-0.404982	-0.357795	-0.292707	-0.209694	-0.108735	0	
28	11.2	0	0.0750619	0.147274	0.19805	0.227248	0.234691	0.220158	0.183367	0.123954	0.0414389	-0.064821	-0.19571	-0.352474	-0.498647	-0.416441	-0.340819	-0.269708	-0.202173	-0.138232	-0.0786601	-0.0247993	0.0216296	0.05872	0.0845688	0.0974684	0.0960961	0.0797059	0.0483183	0.00291183	-0.054387	-0.120113	-0.18927	-0.255142	-0.309104	-0.340425	-0.336085	-0.28058	-0.155731	-0.215561	-0.294029	-0.354228	-0.396456	-0.420869	-0.42754	-0.416495	-0.387734	-0.341239	-0.276988	-0.194953	-0.0951051	0	
29	11.6	0	0.0652477	0.143535	0.200291	0.235341	0.248468	0.239391	0.207746	0.153054	0.0746668	-0.0283075	-0.157125	-0.313604	-0.500446	-0.462186	-0.384486	-0.311556	-0.242468	-0.177219	-0.116549	-0.0617415	-0.014439	0.0235504	0.0504433	0.0646713	0.065072	0.0510797	0.0229161	-0.0182193	-0.069958	-0.128572	-0.188784	-0.243574	-0.283993	-0.298967	-0.275111	-0.196537	-0.0920931	-0.193068	-0.273587	-0.334804	-0.377442	-0.401942	-0.408566	-0.397462	-0.368704	-0.322322	-0.258318	-0.176678	-0.0773774	0	
30	12	0	0.0503312	0.136051	0.200262	0.242774	0.263343	0.261647	0.237259	0.189601	0.117875	0.0209576	-0.102762	-0.255647	-0.441239	-0.518119	-0.436516	-0.360248	-0.288332	-0.220699	-0.157992	-0.101384	-0.0523855	-0.0126504	0.0162112	0.0328252	0.0362436	0.0261358	0.00297868	-0.0317522	-0.0753921	-0.123897	-0.171651	-0.211278	-0.233449	-0.226695	-0.177209	-0.0686645	-0.0622305	-0.168187	-0.251721	-0.314547	-0.357846	-0.382409	-0.388755	-0.377211	-0.347976	-0.301163	-0.236829	-0.154992	-0.0556474	0	
31	12.4	0	0.0291028	0.123689	0.196934	0.248651	0.27859	0.286417	0.271671	0.233716	0.171653	0.0841948	-0.0305249	-0.17525	-0.354059	-0.573054	-0.496411	-0.414548	-0.337792	-0.265946	-0.199508	-0.139485	-0.087199	-0.0440961	-0.0115585	0.00928822	0.0177652	0.0138311	-0.00172704	-0.0271035	-0.0592829	-0.0938494	-0.124796	-0.144335	-0.142705	-0.107983	-0.0258894	0.108927	-0.0291005	-0.140506	-0.227687	-0.292651	-0.336938	-0.361675	-0.367655	-0.355422	-0.325338	-0.277633	-0.212447	-0.129856	-0.0298913	0	
32	12.8	0	0	0.10496	0.188911	0.251695	0.293089	0.312779	0.31032	0.285073	0.236119	0.162119	0.0611264	-0.0697049	-0.234524	-0.439325	-0.562241	-0.471656	-0.387167	-0.308398	-0.235645	-0.169693	-0.111622	-0.0626171	-0.0237777	0.00407399	0.0205826	0.0260508	0.0216298	0.00951035	-0.00688702	-0.0227209	-0.0315384	-0.0250845	0.00688844	0.0768119	0.199491	0.151315	0.00718187	-0.109514	-0.200638	-0.268155	-0.313785	-0.338907	-0.34457	-0.33154	-0.300365	-0.251418	-0.184949	-0.101113	0	0	
33	13.2	0	0	0.077911	0.1743	0.250094	0.305129	0.339157	0.3518	0.342487	0.310374	0.254211	0.172173	0.0616247	-0.0811738	-0.261382	-0.485807	-0.526912	-0.430786	-0.341361	-0.258679	-0.18325	-0.115857	-0.0573682	-0.00854621	0.0301444	0.0587263	0.0779005	0.0892371	0.0953662	0.100168	0.108964	0.128708	0.168175	0.238156	0.351643	0.371813	0.196141	0.0470954	-0.0745118	-0.169688	-0.240085	-0.287419	-0.313215	-0.318723	-0.304921	-0.272543	-0.222125	-0.154044	-0.0685593	0	0	
34	13.6	0	0	0.0400425	0.150605	0.241359	0.312238	0.363099	0.393683	0.403561	0.392053	0.358128	0.300265	0.216295	0.103236	-0.0427923	-0.226452	-0.45255	-0.460687	-0.355717	-0.25833	-0.168705	-0.087274	-0.0145354	0.0491411	0.103703	0.149604	0.187999	0.220933	0.251527	0.284177	0.324739	0.380721	0.461476	0.578388	0.618851	0.422787	0.24476	0.0914764	-0.0347738	-0.134083	-0.207648	-0.257046	-0.283847	-0.289444	-0.274993	-0.241411	-0.1894	-0.119481	-0.0320291	0	0	
35	14	0	0	0	0.114639	0.222226	0.311055	0.381124	0.432338	0.464461	0.477053	0.46939	0.440372	0.388437	0.311514	0.207092	0.0725542	-0.0940163	-0.292254	-0.339632	-0.221463	-0.111616	-0.0101186	0.0829571	0.167687	0.244485	0.314294	0.378774	0.440496	0.503134	0.571649	0.652488	0.753769	0.885472	0.873528	0.675573	0.47917	0.298412	0.14095	0.0100932	-0.0934694	-0.170465	-0.222258	-0.250394	-0.256352	-0.241431	-0.206713	-0.153064	-0.0811555	0	0	0	
36	14.4	0	0	0	0.0624875	0.188602	0.297272	0.38866	0.462861	0.519862	0.559497	0.581386	0.584886	0.569056	0.532686	0.474456	0.393326	0.289301	0.164694	0.0259222	-0.114446	0.00574053	0.134783	0.255739	0.369186	0.476057	0.577836	0.676748	0.775944	0.879701	0.993603	1.12474	1.26439	1.1247	0.941779	0.740994	0.541786	0.357297	0.195334	0.0597613	-0.0481745	-0.128792	-0.183232	-0.212968	-0.219521	-0.204301	-0.168531	-0.113233	-0.0392254	0	0	0	
37	14.8	0	0	0	0	0.135579	0.26566	0.380086	0.479145	0.563052	0.631906	0.685659	0.724078	0.746754	0.753156	0.742811	0.715657	0.672645	0.616618	0.553386	0.492698	0.448513	0.43775	0.528288	0.679714	0.826101	0.969529	1.11284	1.25982	1.41541	1.5132	1.48095	1.37531	1.21468	1.02062	0.813339	0.609222	0.420028	0.253234	0.112887	0.000578264	-0.0836989	-0.140876	-0.172339	-0.179615	-0.164189	-0.127406	-0.0704219	0	0	0	0	
38	15.2	0	0	0	0	0.0575045	0.210159	0.34885	0.474048	0.586166	0.685533	0.772367	0.846753	0.908653	0.957972	0.994702	1.01919	1.03256	1.03723	1.03751	1.03993	1.05301	1.08607	1.14689	1.23852	1.35633	1.48686	1.60953	1.70119	1.74202	1.72039	1.63496	1.49372	1.31099	1.10365	0.888019	0.677864	0.483515	0.311888	0.16698	0.0505582	-0.0371582	-0.0969228	-0.130022	-0.137964	-0.122282	-0.0844097	-0.0256235	0	0	0	0	
39	15.6	0	0	0	0	0	0.124021	0.287664	0.439636	0.580506	0.710772	0.830827	0.940948	1.0413	1.13196	1.21306	1.2849	1.34826	1.40465	1.45656	1.50755	1.56186	1.62353	1.69495	1.77519	1.85865	1.93494	1.99031	2.01054	1.98435	1.90621	1.77743	1.60561	1.40267	1.18245	0.958438	0.742322	0.543156	0.367247	0.218427	0.0985346	0.00794708	-0.0539353	-0.0882947	-0.0966	-0.0804008	-0.0411955	0	0	0	0	0	
40	16	0	0	0	0	0	0	0.188723	0.367464	0.536891	0.697591	0.850041	0.994581	1.13141	1.26058	1.38208	1.4959	1.60219	1.70136	1.79419	1.88176	1.96519	2.04503	2.1205	2.18869	2.24413	2.27903	2.28444	2.25208	2.17633	2.05577	1.89374	1.69782	1.47854	1.24769	1.01681	0.795973	0.593189	0.414203	0.262648	0.140381	0.0478985	-0.015261	-0.0501706	-0.0582383	-0.0410039	0	0	0	0	0	0	
41	16.4	0	0	0	0	0	0	0.0439533	0.248865	0.44599	0.635932	0.819159	0.995964	1.16644	1.33048	1.48775	1.6378	1.78002	1.91378	2.0384	2.1531	2.25684	2.34799	2.42404	2.48129	2.51486	2.51911	2.48848	2.41867	2.30778	2.15716	1.97152	1.75854	1.52786	1.28993	1.05485	0.831508	0.627096	0.446882	0.29431	0.171241	0.0782722	0.0150715	-0.0193165	-0.0262191	-0.00714001	0	0	0	0	0	0	
42	16.8	0	0	0	0	0	0	0	0.0752041	0.29862	0.516037	0.727836	0.934179	1.13497	1.32982	1.51805	1.69866	1.87036	2.03162	2.18061	2.31526	2.43313	2.53136	2.6066	2.65502	2.67254	2.6552	2.59986	2.50489	2.37084	2.20082	2.00046	1.77745	1.54084	1.30008	1.06426	0.841375	0.637974	0.458945	0.307576	0.18573	0.0941003	0.0324845	5.35769e-05	-0.00442106	0	0	0	0	0	0	0	
43	17.2	0	0	0	0	0	0	0	0	0.0859918	0.328704	0.566486	0.799313	1.02685	1.2484	1.46288	1.66883	1.86436	2.04722	2.21479	2.36414	2.49204	2.595	2.66941	2.71168	2.71851	2.68729	2.61658	2.50655	2.35932	2.17909	1.97199	1.74568	1.50867	1.26971	1.03708	0.818114	0.618845	0.443863	0.296333	0.178131	0.0900419	0.0319978	0.00330346	0	0	0	0	0	0	0	0	
44	17.6	0	0	0	0	0	0	0	0	0	0.0654569	0.326436	0.58258	0.833295	1.07758	1.31401	1.54068	1.75528	1.95503	2.13682	2.29722	2.43261	2.53932	2.61378	2.65282	2.65387	2.61539	2.53711	2.42039	2.26833	2.08576	1.87904	1.65564	1.42364	1.19117	0.965892	0.754587	0.562884	0.395131	0.254397	0.142575	0.0605467	0.00837431	0	0	0	0	0	0	0	0	0	
45	18	0	0	0	0	0	0	0	0	0	0	0	0.276348	0.546852	0.810242	1.06479	1.30829	1.53809	1.75113	1.94399	2.11305	2.25459	2.365	2.44097	2.47978	2.47954	2.43948	2.3602	2.24381	2.09397	1.91583	1.71574	1.50092	1.27903	1.05764	0.8439	0.644117	0.463583	0.306439	0.175675	0.0732045	0	0	0	0	0	0	0	0	0	0	0	
46	18.4	0	0	0	0	0	0	0	0	0	0	0	0	0.161301	0.440581	0.709993	0.967123	1.20913	1.43279	1.63461	1.81094	1.95818	2.0729	2.15217	2.19372	2.19625	2.15958	2.08489	1.97473	1.83309	1.66517	1.4772	1.27609	1.06902	0.8631	0.664977	0.480563	0.314845	0.17178	0.0542839	0	0	0	0	0	0	0	0	0	0	0	0	
47	18.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245573	0.513817	0.765782	0.99823	1.20771	1.39071	1.54381	1.66392	1.74847	1.79566	1.80463	1.77568	1.71035	1.61148	1.48312	1.33043	1.15939	0.976531	0.788611	0.60225	0.423649	0.258346	0.111046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206275	0.446359	0.662865	0.852491	1.01211	1.13897	1.23089	1.28645	1.30521	1.28779	1.23596	1.15267	1.04196	0.908811	0.758899	0.598365	0.433503	0.270477	0.115063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196667	0.363777	0.498928	0.600307	0.666858	0.698433	0.695891	0.661151	0.597174	0.507882	0.398008	0.272902	0.138285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
